ESTIMATED_CO2_TOTAL_TONNES,OAG_SCHEDULE_FINGERPRINT,DEPCTRY,ARRCTRY,ELPTIM,STOPS,DISTANCE
14.494,c4b823745cdf53878f146af57063ffdee2fc2b9b133af37de0abdfff0b7489f0,US,US,213,0,674
114.515,6f1a1e1d18facba23774fe0ab5d270fd4215fa1efe855a1e72eba0642322d1ed,NL,GB,1000,0,230
132.056,d88a2291f3e9081dd848b9fd5869c8399145be25e150013a6be48b974c5a112a,IN,HK,535,0,2654
65.44,0da56774ea03942b877bc31231aee9b4a0f5b6bb471e48676cde4eb537af26b2,GB,NL,1430,0,230
7.921,5100c31ae314aba95a01b40fb71cf32d35e85a3413e38ea3a850b4081783b729,SE,FI,55,0,248
9.58,28988717655eb44a4ed9d1d2165d97d5124ad070ef3c91dfa074389e1959358f,IN,IN,140,0,494
17.145,7de20cdf163b7f3803ca40971d6c5f748a334dc3bef3d8bd9fda5703150f2ecf,IN,IN,235,0,935
124.653,281d4554d760245b8c7025d6c5b472c7eda2abac8345760dd4bacc3188ca71ff,US,AR,850,0,4424
25.963,4a437b7f1d4c6481d13917429161fbeebc585deed4da436824673f6119f36960,MX,US,358,0,1540
5.945,4ddd01750624f8053dcfcb73490d3df40224e9f450afbf7fe9e83d7a0d114b61,US,US,133,0,509
20.016,2aaddca4b7c6f4a7f77398e39f075db975053a3edf6c60fa67afe34d337af86b,US,US,310,0,1052
17.886,38ad680245ee7ff19ac70a314313afc48e6f517ed1f127e40a63dab03be396a8,US,US,245,0,979
22.68,77b596cc7792c64c2720606b5abcd82e5eed24f37a00644a0b30ded4c31fc842,US,MX,311,0,1250
16.813,12c5d712803b7794036d7c4cf366cdd66dc8679c5509365a86c2a2afaf061ffe,DO,US,235,0,849
29.386,e74b2f13094c3440ca9147e0dda92bed6a93e533b72c3219ddc0a6163b5dea0b,US,CA,329,0,1386
31.032,a2e6b37f69319ab071771653948afbc8684ea2d65724b2242eb11d9ace87df7e,CA,US,348,0,1386
56.971,57c8fe21cb98ec1a88b10537e1d51c7fd2d55f153e95cface0e40487b648e8a8,CA,CA,426,0,2079
,df2d6e8e6fa494efea51fb7fffb4e1cc7ad1de6f08ead201aae18df1b126f020,CA,CA,5100,0,740
28.677,ec3e5b2d695bc8f21be43e199b3751897d700aeeac21750c023195f67750da9a,CA,CA,432,0,2079
38.566,5cfb99cdd36ae18da04ba5aeaca138b8e112cda2c733cb8d720d077818f0f543,MX,CA,640,0,2781
34.077,6ccfbf30f8673d6902a68d6cf085eac08137765f2ff4adf7f13a7253373e460a,CA,MX,535,0,2497
,d0e335825709f7bdd6eea60424c82a616c1a0b40839fd9fb2904d4cd8cd289c5,CA,US,6700,0,598
32.222,d8cee6dfa0e253771578c280c76447639579bacc6bda61b6554d14a726aba9ee,CA,CA,347,0,1671
23.358,59dba450586f5bd802f14f29f0ecfeaf2fadca90458c06411ec71ee07a455f7c,CA,CA,519,0,2094
237.729,efce0ff26dc6aff3777cab8be108ae107401cc005a45e29404032fca47632e1f,SG,CA,1400,0,7961
,7bf747697f1ab4f0f7ce3594cae7d1d40bf322fe0a2aa1489275f5b1e69a3c1b,CA,CA,221,0,593
8.58,767b22b77bca7c97fdebc41799f3de78a95b57d84eaeaa66ed613dba4d36813c,CA,CA,136,0,502
8.58,1d3595a57404126ae11e87a9d0e3b21d90ba724c96501fdc93835e39416db488,CA,CA,136,0,502
35.946,347812bc7e548e8b3f2c794e53354fc53ec52e81ec309c359b6a88b9b625c822,US,US,531,0,2501
3.183,b2530a4fc05e5abbd4d7e26f3294742bce4e44d33917064c9b5fa2f4dec30100,US,US,127,0,309
25.904,7951f52b1c97ab52e18171aec2cdbb1db0ee2d7d2527209e8ebe9ab316ceebc1,US,US,345,0,1511
25.184,71fcbf6a804725a61f1a9c9cc28c1b74f1f065df92699f819a0852fbee992dd4,US,US,345,0,1511
19.224,54b4c9d4e4cee3234cb3510db90f99da481b53f59175529507e8937a43eaa0b9,US,US,303,0,1007
12.711,7534a98dda408569f6875cc1e2cd865122ea6df7436770599994de8054b0bcf4,MX,US,240,0,901
4.325,ee4cb839291eebe17f7efb7f68b5a0ec18f9ca583fd38aee115834a7e7102444,US,US,111,0,201
18.747,10b7fef0fd227e030eaeb3bdeefa1227c98c4eefb12678982582f935833180f4,US,US,301,0,1122
22.983,457f6723ddf6602a72395b2ed841b49035a8e1dc94d6edb714c4640d15ef26f5,US,US,253,0,1052
236.725,4bc05a53a499b61788f5bf4a5fdb6e817e5aa05b64c1930d3005eb2a1037752b,CA,AU,1450,0,7360
23.873,241d8ba4ee27cf368b3c85a3f5c0cf7bbdd196c4fb60b7b0c43a369a6d35d726,US,VI,400,0,1638
108.336,d6aad7587efa6653b915d5516adb1b43084ac2b8fc4021bff11c5f879d02c51e,US,US,507,0,2395
8.056,7a4ed771cbe1485fd357ec82d87c4e6e4f82c0c5ce55bd961d6e3d7dcfa27f9c,US,US,221,0,605
12.818,adcb1ff4f0c60404653f16a9cde1427615e9a5d12719f6f0e20be7cff116f1b8,US,US,244,0,717
15.882,8105f969c12b9e440ea3815d78af0a460c6605220e936c12cdc2083e66052dce,US,US,228,0,852
218.283,fa056619196a2078d51f980c915a4bc4a4a28529b49e957770f0bf73d7c0a3ea,AU,CA,1340,0,7360
165.142,fad8539cc71d3b8302eb231cbf4284089885e9b1325c0ecd2efe7d9236c48ac8,US,NL,710,0,3647
30.697,2c4c6401715b591f6512ab888fbb1dd911be765074781a62f5b2fac0c8e53468,US,AW,442,0,1964
5.713,ced14e287509e265d0f5303cc5e808c29690d60e17d59c6318d18d549be23f84,US,US,158,0,599
234.63,d9b7f98f150b80c0b36e908403eba0f7f5ac49c477f2158893e1bdaedba71d17,US,IN,1450,0,7310
50.92,2c3791802aabe3a1fb8e0a931bc0e560581911648542b9d2db14bc1562accf3b,US,US,619,0,2428
24.238,7357129136c15d3101b6c3c13b62e4959931d8a0389cb5ee7b4bdb93d5437016,US,US,312,0,1360
210.866,5ae320fc7d429d7c631865ec96db3deb0ed66c34bd8a26e37143244e01f81cfd,DE,US,910,0,4070
130.108,233a899dbd9ed94fcb5ab6204103ca50988a825e142c586c89e130a828841b8b,US,IT,845,0,4494
17.552,f4622dfb5447cc510d1cc529b24d910fb003675b68cbc22194445cc5ce4cbf81,US,GT,254,0,1107
12.085,ebaef8f8c9ea000845a3e1bb626a27d59e5f030607128d4026c541432b1ad238,US,US,209,0,743
237.817,474a66db893a088e8b25e58b9300460efddfe370bd8bcd269f5535dc709357e0,GB,US,1045,0,4824
10.348,3d4bea8e59da4f6cca43bbe8d178a86c5f632da3a67d5e81a801cec52a9898b8,CA,US,230,0,707
7.19,95d085b115ea83c82697c1b876253e8ba6c9e52aab046cc70a35bdd1b78299b7,US,MX,144,0,411
9.402,a7f0b23750d3c9b89f44e115aa33167b5bd7abe6b01d99414b044863a90b76c3,MX,US,127,0,411
7.312,84edf9579ded0033be352809baba492cb4bc7e98241c97f726dff65e73af2c1d,US,US,112,0,263
264.815,95677cf6b0e66a47ce55565569481a53b8728eae990a46ec35cc35836d353919,US,DE,1105,0,5685
7.651,d66673144df69b7e0ed17beed189eb2faed73825384e938632affb6672aadce7,CA,CA,118,0,315
12.454,066aff3e30a011267d47a6d870335bfcc1331f4564010fb43a04d115f78b2f71,US,US,201,0,599
9.2,33c53b88338b8f6a271c0487ae9d07b0e2856df417ee02570d94f6043f1053c6,US,CA,206,0,653
1.849,2740311f95d200adbb997c5bccf8c0695a87fb713fffa3a221a7864b77d73b75,US,US,101,0,73
3.479,35ce62b0d29b5c6ec21b8ccc0c8c2cad1498f648c04239163151ef3ca53f82f5,US,US,116,0,177
8.246,2385a5bb10cffb77988a4cab14cefd598346e04d1c04d171f45945d2a620f71f,US,US,156,0,523
7.373,4d82a6e779ad615111c90f388dbfe9f934cc04b95f4be57f2ca7b91307f9f307,US,US,139,0,421
7.539,f8999563487bf931ca4b64d89accb88aeabbdc27eef0a5e4033cd12e2bc286a9,US,US,145,0,523
16.661,05addbc87548c32172294ed1323dd6bac4953cd4f42adc08c5277f23ba0491c6,US,US,310,0,1236
11.973,2c9add4e9a8dd91e992abfc5297cb657a7b38642c0249c6aa0d477b44ad8d025,US,US,140,0,412
25.021,8e48fb032f8e5211812af97367a6eaee721dcde58060e02091c86ecdfda32787,US,US,231,0,717
9.248,7fcf25de6a63579041d6a9783b1cad72e4d8807217a0422b11440fbe304c0617,US,US,136,0,428
8.411,7adbee0bc622b48cd99a8c684a6eda7ba27341754c5cf0e65faf0167aad8d1c8,US,US,133,0,334
5.748,9dfdb4919b0c1be0b203f135ae11c5c8b19d96fea64a99fcafc7cab565676493,US,CA,139,0,450
5.81,809af9472c57d863173e31a28632391c155fa4ea5bb0e37a7c3e1783afb37411,CA,CA,107,0,226
3.418,ab72aec2e72cbcbdd7066b118fcd8deec1bede842ddb6b1c4eb0f175dc19a30e,US,US,107,0,157
7.063,c3cb97b5c6989eb50ef13ea7ed35a4401c4f53ce87c3a75dfcf3ac92c9a059d6,US,US,135,0,431
15.349,a6792d527440791b9dbee98278dafb37a7b512bc118b154de708f0f26cf4052b,US,US,228,0,852
15.671,cccf15b05b2d41083fbc67c4b48122f71958d76a9af1c4c1a081c245de73f617,US,US,310,0,1167
15.585,b11aa221619e8586c68bad76f4b8ef00f983057a5b7ad0b5832d2cdba5dc3b33,US,US,217,0,860
7.088,3495e1f257fb3489def1947c6d5ca39e08b47500340ed6463d4c081ca82b33f5,US,US,205,0,568
5.37,6155c651084028fb09c1c8ebc281a9d9dbe8f04d11acd4f44d775197768d12b2,US,US,136,0,264
7.344,038535ead5547d0fbbc00d7dd4da927bb52a798d84c67e6f9bdda64c5ce4bb2d,US,US,204,0,641
145.556,9cc55e169c398608f45bfaa25146ca0a34a18af8eb671c635446aa7623713785,IT,US,1015,0,4281
201.625,1ef43680ca8f642ab5c1b813b2c3fcb53a0b3455771145c6e8f8208c0f3cc6b3,US,NL,915,0,5002
18.502,54a138169d3e77768cab24736e36f17a2069dc692c15b13d75f5b43647632eb0,US,US,241,0,1061
10.265,60f6acba9d46ea81c3ea6dee53494e512cfd6956423f90cedfb5e108fa71e5ac,US,US,137,0,447
23.447,8ca56e409fa346eb062b5df1e0493d3f3709d6b73090e709f6438eb624f3e593,US,US,336,0,1545
25.765,1c818f37a6f703aea995b07382847ceb23c509e1d5095e0086b8f5c5efc48974,US,US,223,0,862
16.122,60c7a34bef0987fe67b20e2c267f946f0c3702740fe2455efb54c925f59dc2bd,US,US,225,0,907
7.043,54082a0a02baa6e2194b83092b674b615cc32a18dc5029e12008ad754ae3e898,CA,US,213,0,435
17.594,17f21aeb089f918f7dd6c0c3adbe80917a2efcb94437ad384bd14a989f4bf8e4,US,US,239,0,862
,f86b2f673df663913c14de56ee5cdc77cae2c0a4f7bdaac3184393067b947b86,US,US,1900,0,590
,44525779b10709ba32c3f42e42d783ba0aca696cb9a4239e53b989879de19e8e,US,US,3500,0,641
16.247,b4d74828d01274d049c5c252c4e060725d3ad177d2f63c35b18bc6ce4f87b951,US,US,230,0,861
13.065,bd888b552b07d600a04f30fe51a2421bd7b8eae5f8da17eebd4520fcfcb4cc9b,US,US,208,0,721
16.899,2e2d7ba6ee5176bacf95df781763e52f93d747b7949ed92bc36a12a0b9f67efa,US,US,307,0,1026
12.194,8c731b16939b646690af41d242ec99a10f7b03d6b3c79203301ca17d9bce71f7,US,US,1000,0,227
27.934,a71e63dc5549d4af35c15b8934bb45f941591d016fd0ef3c5fa8160b8c2a0195,US,US,408,0,1777
34.7,77ad79ca2d946cddad0da6bd5cf6835a7ab88c8fa778052fb6e3c1149a7f9fd8,US,CR,524,0,2192
29.124,be696c733e8b9571c0572b8794ec0e6c82ad908b1eec008e11e89e1e8cbac746,US,US,432,0,1720
4.444,c3339d200371e01018692c7da9e8f080ab12611a626fe1df217260360622d3fe,US,US,116,0,177
206.473,b1fc97e321f1f74a48e239810747b3b0e70b8ab5f068eb55e0bff9cc5420f98c,CA,AE,1310,0,6886
10.265,3a2c1131d20fe5fd73bbb09133e1e80ad0195e82bcfa4f99b1f1ad5a680f7d61,US,US,137,0,447
12.77,a9a71eb0fc4d741e4559ef2af2fd71406e34ac998e49add6f8562b70fd5707b1,US,US,203,0,641
25.402,1070ec6fb803a500f50a0a9c41add204849a3ef2e544b283a7364c15c7681c34,US,US,407,0,1722
22.893,529eea1de4fd81f2d2da2b3b5f7aa31a7b6f52632b20e95254e317d8a930d667,US,US,317,0,1120
78.455,c1a0e7db8740f307312696f1995f391e9714ccabab9f48ea8105ef28ad3a62a2,AU,SG,505,0,2431
75.453,d13fa212aa34c16b0fcbe032e6838807cfd642e962ee2e8212d28374c133b99f,US,US,100,0,67
32.846,1ffece51530ed5a180d35f1e9b94a0e50a7746e618265eaffa5d22197a0fd79b,SG,TH,235,0,880
15.021,1bbc38d601718e5f820102441ce83ef2d464b966414672ff59a9646bb7b81603,MY,SG,105,0,184
174.254,d210716b5daf8652437f86dfa8a0dd3ea6f0f638dbefa63eec5d9a86b52e9336,JP,SG,730,0,3329
14.015,1fbb2924a6cc654aa9ef64494c37305b3055489a73e799abcd703866f82e50f3,NO,DK,1000,0,321
14.139,726d91146f2b418ca66a959d57df861517cf6a17f4c6f18a2027a42a78d750ba,CA,CA,210,0,800
,491e7a48e283f913dda9413f19dc4e7dcad1cc1259ae6bde559250b04dc186d5,GB,GB,1715,0,251
9.791,bba1b6a232eccae5314e61fbcdb9bb3b913ac840ee42189840fe7204cc93d3d6,NZ,NZ,125,0,463
125.512,c18368f73f87042aaf5421a96c0227ff910e00533c838071594e894173426faa,NZ,US,830,0,4405
15.164,22e4e683e7d876c0d255457a855f981ae2ff13b60ea973c7f570edab0cd8cf94,DK,FI,4000,0,554
8.839,2a8031dc0d69cb24ccfd9fc8a0be8a93d2be32f33c17d6c9436b4207dc1f46f2,DE,AT,125,0,386
15.297,ee8678b3483df67bc2a6c0a0c1e0739c50c10732e7c6950ee7ad938643bdf9de,GB,GB,1800,0,402
23.341,b1a8b1924a51a4be3d3099fc13b4a6c2fd79c2cf354a97e643894ee25656575e,JP,JP,120,0,251
32.886,2b4df7bd03657ac709d30e8493abc8444a11cf327c1b0d9584e7d3293d58362b,JP,JP,135,0,548
5.271,08bca283fdf83b8d33e0e0376c245ae4849f41d4daa0eec5f20c9c4c8a4e6f58,GB,BE,105,0,218
103.401,7511915e7ef7b1732246333969d191c1bfd102b59f5c0c165751d56bf3dfd57d,SN,BE,550,0,2776
,c1529b45dce6d987900f730808f002e0bde5a8d7b616249c8d72a9090924957a,TR,TR,1000,0,222
27.822,2307e9491feb8d6c4ba5962f97004ecc59572e8477b3265c46f79d160b236ce4,BR,BR,335,0,1530
6.665,0ac7b541e721b3339673ec9e302a7f722fbe58d3677756e06748e94179d004f8,CA,CA,143,0,438
21.688,b45875f040e2293c45fc2f1198485460535be294fd7e9cb85b9271f687408ced,CN,CN,255,0,910
79.687,3e756f645c38f0a050fd7ce0df5c2f624b9725f2bf29dafed30d0cac258be5b5,CN,CN,330,0,1216
19.033,d27f4f4edf2bcb4aef4309145ca4d5ca5aa6771912aa44d2f5eb21f9505e6464,CN,CN,225,0,656
18.378,1a1b04273c5a88f529bbc73b18d328f6194448aa19b7dbe3ae6fe1b834cf8de8,CN,CN,240,0,843
18.767,a6fff7076124b42948f71518a2ba0a01ac17bda5dbe42790a8b249f2046a3cf5,CN,CN,340,0,1301
59.161,d4ce1d61f13ac4f8b448214e91a151db271ed58db66e9219887aa98453185a4a,NL,TR,325,0,1357
15.697,c26ce43ff7a267f8d3cf7138fe668685e8769089f3706e6218bc2ddcc4e6cc76,PL,GB,245,0,913
13.062,929cc227326ea0c0d53b314bd3d9b06d6589122cf67ce536744d0945acff3f27,ES,ES,700,0,247
7.103,945b2c3069fcdbc9c77ea85474c8f7d312adcc26bb55de18de42bbe21dfbffc0,IE,GB,125,0,279
7.119,6b24b460a4c90ee6fa4e47f6919ae3184b1835cb1b37bf8b9f72b1c2617c556e,DE,GB,130,0,312
24.053,e139a128202e8f5f3f5f16fca1007e7e0885f9a6572df895393445a1d40eebef,JP,KR,120,0,350
6.036,91b216f3e1c9ac7d52ec8c4a9205d5ecce67d3545a4dc3c2f7817ce703b6ac1d,CA,US,138,0,356
137.267,eaab186967a896f18e2a00c24ed6f8bfae9213b6b145032b5066bd80420992c1,ES,CA,845,0,3765
75.436,583ccf40f3da88f80484d90a6f2ebfde88476b73350dddb6e5cf47772063c77f,CA,MX,510,0,1996
5.357,bd1968493fd0954e21e2f2c4634ade6a2311a6d85e35295ce309cc25d168afd3,DE,IT,100,0,209
6.802,d4655d1f4955550a885d839c7d5ef119859c1a617798ac963b74110e7756a931,IT,DE,125,0,337
183.938,bab10e274c2536ec20dd1eb7f06bc8ea6b8362dbba651c35e40ef0a62fda1555,DE,CA,955,0,4678
8.572,e49ef55f0f9c02370efd981c3b2c22efae31011a267cef4c2420df554acba79f,TH,TH,120,0,371
6.74,7b20a5e8de70688687821bffeb5f3e797f68bb6a2cece7d1920fb54c73221b9b,TH,TH,100,0,235
31.014,306dfdaaa6923b11da6567e18e990a212fdd9ca8f965dc344f99079bf152f2f2,AE,SA,130,0,356
23.408,eceb468340205cfb8f14258a7ab706848e630ff358011730e3eea68268964387,AE,OM,115,0,216
108.648,35b05b27dc12873e0601b1abf80f5fbbc144a8fcc8d68e13b1db5ed985ded6d3,SC,AE,435,0,2068
,3c1bea08a424f55ce8b9b382b2857ca811bcd307ebe9c03525f3111afde135e1,CA,CA,108,0,218
,27402e3d1cd05adeecc48e9138cf74a8dbc40524367a246587a378fcc8290633,CA,CA,56,0,218
,751829fe3b23df35a1017e2126b622812c3af36ab5ad5dab90661b92c7828f03,CA,CA,108,0,218
,bc29381bfc3ebdfce73d42c750a290a79d092b1dd61922bb199bcab55fbdc81a,CA,CA,56,0,218
,dcb21baa6ceb4a406aedcf5f9139d2a2090780c17fc02afdf7d8e6a536203a85,CA,CA,108,0,218
9.482,0b8d9580142cc8955d3e59478a169698faf28b1292eb110d85336785a668f898,CA,CA,211,0,806
,b4f171a597f1c528ffe3619d285fae65e35959ec4d42ce1a52db539f8c95176c,CA,CA,105,0,229
,9b744dbf1fc4a524892b76a796261080dfea2eadd2234f5e70ba9573a01d1116,CA,CA,125,0,306
,f2a86b86db74640d2fa968f8e63884aec71274eeebcb601cfefcd7900c842a4c,CA,CA,138,0,467
37.445,7af1f8847f9f5db22e2410d45a1edd59acaf0ae8edbd2aaf5f9d77710ddcdd75,CA,MX,605,0,2781
56.552,29cb6df8bc80fd1901ae8da42fdf87178e66c1de17be3941c3617fd66671a4dd,HK,TH,355,0,1428
16.403,8445e290c8d7fc1d8fe8744b653d1e182a5edbe4a9fbf035120c3300d8008906,BR,BR,220,0,826
21.919,1d1f5d861a5c535eed19b163d0c2f1c3f7293208d949e011dc1f399f551cddad,BR,BR,325,0,1426
33.294,ed92a8e49108559d7040ac90887b906ca5b84586641103f5b24281150fcafa97,MX,CA,505,0,2473
16.99,705d063f900f7e0636c30d07386342f1d71d523c6d042ab678ea5b709e9bf85c,BR,BR,225,0,919
18.285,bceda15a02b7aa98226c9ce0840077a508d704f1711202e1737c19c617bcf2ce,BR,BR,225,0,919
11.994,6f8604e8ecb3473460323719ec4613d4900814e9e943475be0765d246823a8c6,BR,BR,145,0,654
6.93,03cb54f19ffa0505a90d8510724426cd472c984015e89105122b9c7c447b205e,BR,BR,125,0,325
5.16,080236aa264a8e2986658ab92be0e2066c70e568c3605bfd774df932c75ea31b,BR,BR,100,0,243
10.722,4edc340d553c7959176cb3897484b43d95996d9a545c3de2d70a09aa295275cc,BR,BR,140,0,543
8.352,a66662ededef022152abe07047645f07584052f16e99b438a0f430f926b89d99,BR,BR,135,0,515
2.375,561fd790720fdd315c2953d7a847f352cb665c3e707348aaaa0bf5ebe1abd5ba,BR,BR,115,0,224
6.769,3f32bfffcae8738a01c661a6e854d4177725c70663660ea9bd97769dad822d18,BR,BR,120,0,368
18.964,cbdc3515743131ad5f36e208bceb101c0676dcbbe287d5cec092875cee40a182,BR,BR,240,0,1129
17.515,d6e10fc99b7f86b5d082865c7b15f68ba7741fff6909b509a1975b588dff9d78,BR,BR,230,0,999
11.762,3a6faef87d1d397f9690bdd37206dc3df1f5c91bd31c572c4da2f8e2c413c1df,BR,BR,215,0,882
4.768,f066c711382dea3a38adedf9cafb23ff1bb41f283b33c4d41f69c56724045bda,BR,BR,100,0,216
13.345,7bcd3d4d577be5aafba52dcdb4a81781caa538bbd826dcb96355b1ba98d8635e,BR,BR,225,0,1002
5.858,293f2e89821241627c97bfbfa72ea027af5bdea495f497fe79b69a4b40952855,BR,BR,105,0,308
4.892,73d4435d1576bf5a38f719522af3216411ff0d79246f0ff6ba3d6a5234efdc62,BR,BR,100,0,216
11.757,c22c2d68c2741bb8c6e8144c57a0af01a0efc5d4245f072d160b9d2b9c8aa66a,BR,BR,140,0,538
19.187,554114735dd47f64ea3168f77a3eef189a2a0978ae53083fcc2b9807ff81e2e5,BR,BR,235,0,1028
17.029,aaa230def3b5bfe6529782f72c150b79dc13586acd931b3ff68801e143229802,BR,BR,255,0,1211
23.797,0e8f32238fad0a6937df348b86f079f7eb6237884dce58ffdc8adfc8b16052ac,BR,BR,400,0,1676
15.577,5625b28bb6f993f6471912c37557ca3c9c7e77d88593ac70dae16cc8d64ea65f,BR,BR,245,0,1051
12.409,9520b5db67f33f8b4c5705bd637c0594dcb6fdd842b09c38236fc0badd56d6ef,BR,BR,205,0,756
22.051,95b80570d8531cd62c280bf7067ce1b5c8c6e00aac05d11cdd17ceae21c7bdc3,BR,BR,310,0,1215
5.005,0ef240a434afbca778fb7a74fed582009acb17aa6b1329de1c690f6f73163eb2,BR,BR,100,0,216
3.373,724358de4a9d35ad8049569f64c39df70ddd39dfcc81f46ba9f7b4b6b4e4ea2b,BR,BR,145,0,390
5.21,085788d1f459c52d1542a18841264b82ef6b018b4cff45a55dc130ac8e27687e,BR,BR,105,0,248
4.678,1491ad57a8b7f814d7b94cf4c488f9be289fb68659593886d890ad79e0ca143a,BR,BR,50,0,221
3.083,75476cf490321162e3b2e07074e22e76532669f4cd6bd66f433f9d8a4f1cd49f,BR,BR,135,0,312
6.474,0d4fb15b9f7c20d697388a13b3aea1a28bedea057b2aa8db3f680debb9f94712,BR,BR,115,0,384
12.144,9f840dcf285b24c2d43dce2b0ba39128b61730daeb9f9c1b1b261609e9100634,BR,BR,140,0,582
6.978,2fdaf1a16cca074be7b953feba3e27ac36e423d8034c430e4adc4dcd6870cff5,BR,BR,120,0,325
6.12,af1bf7fc1096306434b2d78a1c350012bfc7e56cea02f4821d5bd09658e878a3,BR,BR,115,0,310
2.611,2911f377eb08fcfac03dd5a9de9f53829b602ee152c0c0b8266de828648a0a32,BR,BR,120,0,282
2.853,137c77e61d439b72d284098e8a739ab9c74140982c972ccdd3c6b46178633c96,BR,BR,135,0,282
5.674,176edfad46a92fde45b8c1fddb2487088c894d5b9ae09c538eb696eb6fc9b667,BR,BR,105,0,331
7.757,a17c26d91e4c9bf021dee8e342284371151546dc1ed5d794cb99b48b5d8f703e,BR,BR,130,0,448
6.553,2c433d6d08d0eef0b2a56e2e6e37c530bf43d30d3fe19d837e13bf039a469432,BR,BR,100,0,291
23.505,94ee9beb05698054e8d95ead517820aed1f072b73613daa533c7c6d76654d137,BR,BR,300,0,1298
10.724,50c1518fb4f2c6d0f8851729d46c809be6beb0b9556e294e5d8533baf34eeca9,BR,BR,150,0,681
4.768,1a96cfb02b3892e5e206d274a9a51d2d6649610ff732b2d6dd000cbd42083e7f,BR,BR,225,0,615
5.718,0a32527d19af69cfb56e8ea4ec6a79989d6f121996b467630d34e2d5f9b1c534,BR,BR,105,0,294
7.877,cd0eb5f70f39e3fcc541fa3bbc6ca7dac5dbf59b9d138bbcb578958c8df59269,BR,BR,135,0,496
10.161,469b3b8ef65c9dcc94435763610de3b430dc3605410d85b5f41b85b66053773d,BR,BR,135,0,496
17.327,41f37f0194c1fd0cc3889feffc68325c5c1e73c412dd8017c67c049805d69134,BR,BR,230,0,999
6.194,5a1e94cd0a6591f76fadfc9ced68edea6e42fe9bed29fccb0ea7a2765481d1f3,BR,BR,115,0,325
4.386,44330b360fb1021d488d7464fcaa7c06541ffddac617d5c7114f5cd01e52a84c,BR,BR,220,0,527
,7ecf4488d723d9cb4a137b05d81c9d6cc9a192001639fb5069b258415936654b,BR,BR,250,0,439
,ee8179f458a32e92c25c5c66b7238874ff938c9abc0c7343ce38696c67c96e67,BR,BR,140,0,239
,e35baa7f9c9e98e07d2bf14b83009b61f366b93cbdfd567c82df6eaa05dc864d,BR,BR,145,0,239
,cbfe11ab2e0f0ad04745628e4ccd6a3a2353cca90e4465096603688307730acc,BR,BR,130,0,208
,0431182789dfdf0cfd43fbfa1e720a9e3d70896d15cc3b1935eb450d60ee64e5,BR,BR,130,0,213
,6789d114a411ea86bbe7ee2fc8a6b6dbcb4fe9b81064a593e7c2ad4ac7020725,BR,BR,205,0,330
4.782,2fdf86010f5376a5195b4fdc4a08d7deb297973d933c5a8de7d594fe2e00ec07,BR,BR,105,0,206
11.048,204a540ec931920da002a3030e89424e66d205493668dd2a893ebe8523789250,BR,BR,140,0,520
18.714,9b131d18e6f07c9453de0134d26ee908a8c6ef462bedcfa9b48b9990586f6f1d,BR,BR,230,0,1043
6.978,21f14d52f31d4601ce64026f4869ef286e6e02c5e8e0bf16f9dbbbfd6b247d24,BR,BR,120,0,325
5.337,e89e900bbdeae4b5fef9d2792c0ef77da6d92c86fc6dea7e8e82741657365466,BR,BR,105,0,206
14.737,a20a359c13d21516499fa202df5ae2e1147b85699314f1e2fa6001514a5fa405,US,US,243,0,939
14.694,739c3b632669b82cdbbad6d8ea9317cd0f8042a094765f7d2e2bfafdb030bdc8,US,US,245,0,939
27.046,59072f8997da314416a215be497f40d335fc2953041122fd8820d61531d9ace8,US,US,240,0,939
24.459,03df899fad00fc33be9c32e7692ce5228d8eeebf904add42161e636e8dd2f383,US,US,354,0,1702
5.75,bd2d013ed9cc42ed8aa5906ebe915fdd771e6d78205206ebd8670ef50338c0f6,PT,PT,105,0,172
20.502,217a9ceb7e84147bbd93f5fa7ea43cabc63d8bbdb23489e7881f8ecd377f16ec,PT,DE,315,0,1233
6.298,3bd0347fcd65abc6f36f07fcc8ee920c2643d1f89feb74b718325a3915bafdcd,PT,ES,120,0,319
10.352,6beefd1e16af6a33e45666914acbc653a15be7f6984fcf2a6c04ceb0b3c3c365,PT,ES,150,0,618
13.924,ee1da2ccc8e21a4dbf99b1a855cc40aaf4349bc349f85b2e7e5b0edc3d7ac01f,PT,GB,250,0,973
13.655,cb4cba5654798e2c3554132f279b95efc8f0811acd0648d17bfbadfbe1a0a187,CH,PT,240,0,930
21.788,704a507e5bcd84283d03f13140baca92f5f2ca9b8b8f4a620be795219ddcae67,US,US,302,0,1074
21.313,89f5b7f06e69fe0f1d1c0344b9c18d756ceccbdccdd61cad1f9c14d0744e707f,PR,US,305,0,1129
6.4,4743b4473e314d1cd8dc4d54f2ae311af2353d5276c4d06561542b5aa5ccd535,BS,US,108,0,182
5.497,4a0612836a7d77e8b061ad75df4001983c13f7a493d5cd1de8907a065737bc08,PT,PT,100,0,172
21.232,e8ac0698b91f9f2ed88048615a60e3bd07929fa837258d52aee239a3b3f403a9,US,US,313,0,1051
18.815,105770aebe4c636808be7ffada78f41ab65a0010ae5ec6e767f158d88c9d4738,US,US,237,0,901
22.444,b52cf24b1bb26fd8ec3f63c5baebed409d1912f16daaa28e3c541e5fa238fb49,PR,US,324,0,1189
13.224,881b1af22285ae91ef15a543bb88aada8e39799edf8b074b9c439a2632c74c4f,US,US,202,0,668
